article,keywords,volume,issue,year
1,adaptive classification procedure,66,4,2006
1,multiple-category classification,66,4,2006
1,ability estimator,66,4,2006
1,estimation bias,66,4,2006
2,ipsative data,66,4,2006
2,factor analysis,66,4,2006
2,factor scores,66,4,2006
2,response bias,66,4,2006
3,reliability,66,4,2006
3,Cronbach's coefficient alpha,66,4,2006
3,difference in reliability estimates,66,4,2006
3,small samples,66,4,2006
4,formal test description,66,4,2006
4,standards,66,4,2006
4,classical test theory (CTT),66,4,2006
4,item response theory (IRT),66,4,2006
4,person-parameter distribution,66,4,2006
4,least significant difference (LSD),66,4,2006
5,meta-analysis,66,4,2006
5,effect size,66,4,2006
5,standardized mean difference (SMD),66,4,2006
5,reliability-corrected standardized mean difference,66,4,2006
6,comparing dependent groups,66,4,2006
6,Wilcoxon-Mann-Whitney,66,4,2006
6,bootstrap methods,66,4,2006
7,perceived organizational support,66,4,2006
7,reliability generalization,66,4,2006
7,mean age,66,4,2006
8,test-taking motivation,66,4,2006
8,expectancy-value theory,66,4,2006
8,scale development,66,4,2006
8,exploratory factor analysis,66,4,2006
8,construct validity,66,4,2006
9,role overload,66,4,2006
9,single parents,66,4,2006
9,confirmatory factor analysis,66,4,2006
9,unidimensionality,66,4,2006
10,aging,66,4,2006
10,depression,66,4,2006
10,measurement,66,4,2006
10,GeriatricDepressionScale,66,4,2006
10,constructvalidation,66,4,2006
11,factorstructure,66,4,2006
11,perceivedcriticism,66,4,2006
11,emotionalinvolvement,66,4,2006
11,adolescents,66,4,2006
12,validity,66,4,2006
12,cognitivepretesting,66,4,2006
12,self-report,66,4,2006
12,interraterreliability,66,4,2006
12,children,66,4,2006
13,work engagement,66,4,2006
13,measurement,66,4,2006
13,burnout,66,4,2006
13,Utrecht Work Engagement Scale (UWES),66,4,2006
1,dimensionality assessment,66,5,2006
1,multidimensional item response theory (MIRT),66,5,2006
1,DIMTEST,66,5,2006
1,unidimensionality,66,5,2006
1,approximate simple structure,66,5,2006
2,rater agreement,66,5,2006
2,rater reliability,66,5,2006
2,nominal judgments,66,5,2006
2,latent class analysis,66,5,2006
3,structural equation modeling,66,5,2006
3,modification indices,66,5,2006
3,Lagrange multiplier (LM) tests,66,5,2006
3,overspecification,66,5,2006
4,sequential observation,66,5,2006
4,omission mistakes,66,5,2006
4,Kappa coefficient,66,5,2006
4,base-rate problem,66,5,2006
4,observer bias,66,5,2006
5,cluster analysis,66,5,2006
5,latent class cluster analysis,66,5,2006
5,latent profile analysis (LPA),66,5,2006
5,classification,66,5,2006
6,preadolescents with mild intellectual disabilities,66,5,2006
6,confirmatory factor analysis with mean structures,66,5,2006
6,MIMIC models,66,5,2006
6,big-fish-little-pond effect,66,5,2006
6,Self Description Questionnaire I–Individual Administration,66,5,2006
7,multiculturalism,66,5,2006
7,multicultural studies,66,5,2006
7,multicultural attitudes,66,5,2006
7,instrument validation,66,5,2006
7,Banks's transformative approach,66,5,2006
8,locus of control,66,5,2006
8,work,66,5,2006
8,Work Locus of Control Scale (WLCS),66,5,2006
9,attachment,66,5,2006
9,measurement,66,5,2006
9,adoption,66,5,2006
9,test development,66,5,2006
10,multisource assessment,66,5,2006
10,social competence,66,5,2006
10,children,66,5,2006
10,confirmatory factor analysis,66,5,2006
2,scale score,66,6,2006
2,linear transformation,66,6,2006
2,normalizing transformation,66,6,2006
2,arcsine transformation,66,6,2006
2,BCTEST,66,6,2006
3,reliability,66,6,2006
3,structural equation modeling,66,6,2006
3,congeneric,66,6,2006
3,tau-equivalent,66,6,2006
4,effect size,66,6,2006
4,confidence interval,66,6,2006
4,nonnormality,66,6,2006
4,robust parameter,66,6,2006
4,statistic,66,6,2006
4,interval,66,6,2006
5,item blocking,66,6,2006
5,academic self-concept,66,6,2006
5,factorial structure,66,6,2006
5,reliability,66,6,2006
5,validity,66,6,2006
6,WISC-IV,66,6,2006
6,intelligence,66,6,2006
6,factor analysis,66,6,2006
6,special education,66,6,2006
7,visual attention,66,6,2006
7,aging,66,6,2006
7,item response theory,66,6,2006
7,change detection,66,6,2006
8,dimensions of perfectionism,66,6,2006
8,perfectionist typology,66,6,2006
8,perfectionist characteristics,66,6,2006
8,scale validation,66,6,2006
9,LASSI,66,6,2006
9,learning strategies,66,6,2006
9,latent factor structure,66,6,2006
9,academic performance,66,6,2006
10,intelligence measures,66,6,2006
10,Raven Advanced Progressive Matrices,66,6,2006
10,test administration,66,6,2006
10,group testing,66,6,2006
10,20-minute timed version,66,6,2006
11,general self-efficacy,66,6,2006
11,item response theory,66,6,2006
11,motivation,66,6,2006
11,measurement,66,6,2006
1,multistage testing,67,1,2007
1,testlets,67,1,2007
1,optimization methods,67,1,2007
1,constrained test assembly,67,1,2007
1,licensing examinations,67,1,2007
1,automated assembly,67,1,2007
2,multivariate,67,1,2007
2,effect size,67,1,2007
2,Monte Carlo,67,1,2007
2,confidence intervals,67,1,2007
3,computerized adaptive testing,67,1,2007
3,item selection,67,1,2007
3,mutual information,67,1,2007
3,sequential probability ratio test,67,1,2007
3,classification,67,1,2007
4,effect size,67,1,2007
4,statistical significance,67,1,2007
4,practical significance,67,1,2007
4,clinical significance,67,1,2007
4,simulation studies,67,1,2007
5,item response theory,67,1,2007
5,IRT,67,1,2007
5,nonnormality,67,1,2007
5,empirical histogram,67,1,2007
5,expectation Maximation,67,1,2007
5,EM,67,1,2007
5,marginal maximum likelihood,67,1,2007
5,MML,67,1,2007
6,academic self-concept,67,1,2007
6,factor structure,67,1,2007
6,validity,67,1,2007
6,Asian American students,67,1,2007
7,work-family conflict,67,1,2007
7,work demand,67,1,2007
7,family demand,67,1,2007
7,scale development,67,1,2007
8,attitudes toward inclusion,67,1,2007
8,question wording,67,1,2007
8,measurement invariance,67,1,2007
8,multigroup confirmatory factor analysis,67,1,2007
9,mathematics,67,1,2007
9,factorial validity,67,1,2007
9,decision efficiency,67,1,2007
9,reliability,67,1,2007
9,convergent validity,67,1,2007
10,work ethic,67,1,2007
10,measurement equivalence,67,1,2007
10,Multidimensional Work Ethic Profile,67,1,2007
10,cross-cultural measurement,67,1,2007
11,attention deficit hyperactivity disorder,67,1,2007
11,measures,67,1,2007
11,treatment response,67,1,2007
11,psychometrics,67,1,2007
11,generalizability study,67,1,2007
1,standard setting,67,2,2007
1,minimum passing score,67,2,2007
1,Angoff method,67,2,2007
1,subsets of test items,67,2,2007
1,stratified item selection,67,2,2007
2,squared semipartial correlation,67,2,2007
2,multiple correlation,67,2,2007
2,effect size,67,2,2007
2,bootstrap,67,2,2007
2,confidence interval,67,2,2007
3,meta-analysis,67,2,2007
3,computer-based testing,67,2,2007
3,comparability of educational test modes,67,2,2007
3,K-12 mathematics tests,67,2,2007
4,Bayesian network,67,2,2007
4,Bayesian residual,67,2,2007
4,DIC,67,2,2007
4,item fit,67,2,2007
4,Markov chain Monte Carlo,67,2,2007
5,Bayesian inference,67,2,2007
5,item response theory,67,2,2007
5,maximum likelihood,67,2,2007
5,posterior standard deviations,67,2,2007
5,standard errors,67,2,2007
6,mixed Rasch modeling,67,2,2007
6,latent class analysis,67,2,2007
6,rating scale models,67,2,2007
6,Self-Rating Depression Scale,67,2,2007
7,achievement motivation,67,2,2007
7,self-determination,67,2,2007
7,peer competence,67,2,2007
7,problem behavior,67,2,2007
8,adolescents,67,2,2007
8,United States,67,2,2007
8,Taiwanese,67,2,2007
8,factor analysis,67,2,2007
8,parents,67,2,2007
9,job and organizational characteristics,67,2,2007
9,applicant perspectives,67,2,2007
9,multigroup CFA,67,2,2007
10,screening,67,2,2007
10,children,67,2,2007
10,mental health,67,2,2007
10,school,67,2,2007
10,BASC,67,2,2007
11,PLSP,67,2,2007
11,learning styles,67,2,2007
11,perceptual learning styles,67,2,2007
11,second-language acquisition,67,2,2007
1,differential item functioning,67,3,2007
1,logistic regression analysis,67,3,2007
1,effect size,67,3,2007
1,purification,67,3,2007
2,reliability,67,3,2007
2,Rasch models,67,3,2007
2,measurement error,67,3,2007
3,covariance heterogeneity,67,3,2007
3,empirical generalized least squares estimation,67,3,2007
3,modified Brown—Forsythe procedure,67,3,2007
3,multivariate mixed model,67,3,2007
4,multidimensional IRT,67,3,2007
4,estimation,67,3,2007
4,asymptotes,67,3,2007
5,autocorrelation tests,67,3,2007
5,interrupted time-series designs,67,3,2007
5,intervention models,67,3,2007
5,time-series regression with autoregressive errors,67,3,2007
6,Rasch,67,3,2007
6,multidimensional IRT,67,3,2007
6,standards,67,3,2007
6,teachers,67,3,2007
7,Group Environment Scale,67,3,2007
7,Salter Environmental Type Assessment,67,3,2007
7,small-group dynamics,67,3,2007
7,factor analysis,67,3,2007
7,concurrent validity,67,3,2007
8,time perspective,67,3,2007
8,adolescence,67,3,2007
8,reliability,67,3,2007
8,validity,67,3,2007
8,ZPTI,67,3,2007
9,measure,67,3,2007
9,peer evaluation,67,3,2007
9,self evaluation,67,3,2007
9,teams,67,3,2007
9,team member effectiveness,67,3,2007
10,BIDR,67,3,2007
10,reliability generalization,67,3,2007
10,impression management,67,3,2007
10,self-deception,67,3,2007
11,Institutional Integration Scale,67,3,2007
11,college student withdrawal,67,3,2007
11,differential item functioning,67,3,2007
11,item response theory,67,3,2007
1,nonuniform DIF,67,4,2007
1,SIBTEST,67,4,2007
1,logistic regression,67,4,2007
1,IRTLR,67,4,2007
1,confirmatory factor analysis,67,4,2007
2,facets model,67,4,2007
2,item response theory,67,4,2007
2,Rasch measurement,67,4,2007
2,latent regression,67,4,2007
2,nonlinear mixed model,67,4,2007
2,multilevel model,67,4,2007
3,response time,67,4,2007
3,effort,67,4,2007
3,rapid-guessing behavior,67,4,2007
3,low-stakes testing,67,4,2007
4,outliers,67,4,2007
4,reliability,67,4,2007
4,coefficient alpha,67,4,2007
4,visual analogue scale,67,4,2007
5,Non-Cognitive Questionnaire,67,4,2007
5,NCQ,67,4,2007
5,scale validation,67,4,2007
5,noncognitive variables,67,4,2007
5,college admissions,67,4,2007
5,college performance,67,4,2007
6,measurement equivalence,67,4,2007
6,survey,67,4,2007
6,administration mode,67,4,2007
6,attitude measure,67,4,2007
7,sense of coherence,67,4,2007
7,measurement invariance,67,4,2007
7,stability,67,4,2007
8,achievement goals,67,4,2007
8,mastery-avoidance,67,4,2007
8,construct validity,67,4,2007
8,work motivation,67,4,2007
9,goal orientation,67,4,2007
9,work motivation,67,4,2007
9,item response theory,67,4,2007
9,item-level analysis,67,4,2007
1,guessing behavior,67,5,2007
1,mixture modeling,67,5,2007
1,classification method,67,5,2007
1,response time,67,5,2007
1,response accuracy,67,5,2007
2,reliability generalization,67,5,2007
2,meta-analysis,67,5,2007
2,Monte Carlo,67,5,2007
3,generalizability theory,67,5,2007
3,variance components,67,5,2007
3,bootstrap,67,5,2007
4,variance components,67,5,2007
4,standard errors,67,5,2007
4,generalizability theory,67,5,2007
4,bootstrap,67,5,2007
4,bias,67,5,2007
4,simulations,67,5,2007
5,Bem Sex Role Inventory,67,5,2007
5,BSRI,67,5,2007
5,femininity,67,5,2007
5,masculinity,67,5,2007
5,confirmatory factor analysis,67,5,2007
5,construct validation,67,5,2007
6,confirmatory factor analysis,67,5,2007
6,exploratory factor analysis,67,5,2007
6,school climate,67,5,2007
6,School Level Environment Questionnaire (SLEQ),67,5,2007
6,structural equation modeling,67,5,2007
6,teacher perceptions,67,5,2007
7,factor analysis,67,5,2007
7,score validity,67,5,2007
7,collective efficacy,67,5,2007
7,teacher efficacy,67,5,2007
8,desirability,67,5,2007
8,deception,67,5,2007
8,BIDR,67,5,2007
8,PDS,67,5,2007
8,forensic,67,5,2007
9,ethnic identity,67,5,2007
9,other-group orientation,67,5,2007
9,measurement equivalence,67,5,2007
9,race,67,5,2007
2,item response theory,67,6,2007
2,unidimensional model,67,6,2007
2,multiunidimensional model,67,6,2007
2,Markov chain Monte Carlo,67,6,2007
2,Bayesian model choice,67,6,2007
3,correction for attenuation,67,6,2007
3,Spearman attenuation formula,67,6,2007
3,error of measurement,67,6,2007
3,reliability,67,6,2007
3,true scores,67,6,2007
3,error scores,67,6,2007
3,observed scores,67,6,2007
3,correlated errors,67,6,2007
3,population,67,6,2007
3,sample,67,6,2007
4,test equating,67,6,2007
4,item response theory (IRT) true-score equating method,67,6,2007
4,observed-score equating methods,67,6,2007
4,population sensitivity of equating function,67,6,2007
5,computerized adaptive testing,67,6,2007
5,parameter estimation,67,6,2007
5,item response theory,67,6,2007
5,information functions,67,6,2007
5,maximum likelihood estimation,67,6,2007
6,validity,67,6,2007
6,achievement tests,67,6,2007
6,confirmatory factor analysis,67,6,2007
6,cross-validation,67,6,2007
7,EPQ-R,67,6,2007
7,gender di ferences,67,6,2007
7,DIF,67,6,2007
7,standardization,67,6,2007
7,logistic regression,67,6,2007
7,Lord's <U+03C7>2 test,67,6,2007
7,DFIT framework,67,6,2007
7,SIBTEST,67,6,2007
8,adjustment to college,67,6,2007
8,validity,67,6,2007
8,factor analysis,67,6,2007
8,SACQ,67,6,2007
9,school engagement,67,6,2007
9,measurement invariance,67,6,2007
9,confirmatory factor analysis,67,6,2007
9,NELS:88,67,6,2007
10,pay satisfaction,67,6,2007
10,measurement invariance,67,6,2007
10,confirmatory factor analysis,67,6,2007
10,culture,67,6,2007
11,Minnesota Multiphasic Personality Inventory—2 (MMPI-2),67,6,2007
11,substance abuse scales,67,6,2007
11,reliability induction,67,6,2007
11,reliability generalization,67,6,2007
11,meta-analysis,67,6,2007
1,meta-analysis,68,1,2008
1,computer-based testing,68,1,2008
1,comparability of educational test modes,68,1,2008
1,K—12 reading tests,68,1,2008
2,standard setting,68,1,2008
2,item rating method,68,1,2008
2,mapmark method,68,1,2008
2,generalizability theory,68,1,2008
3,effect size,68,1,2008
3,meta-analysis,68,1,2008
3,computer simulation,68,1,2008
3,normal distribution,68,1,2008
4,logistic regression,68,1,2008
4,missing data,68,1,2008
4,missing categorical covariates,68,1,2008
4,method of weights,68,1,2008
4,multiple imputation,68,1,2008
4,EM algorithm,68,1,2008
5,deterministic-input,68,1,2008
5,noisy ``and'' gate model,68,1,2008
5,DINA model,68,1,2008
5,Q-matrix,68,1,2008
5,simulation study,68,1,2008
6,reliability generalization,68,1,2008
6,meta-analysis,68,1,2008
6,locus of control,68,1,2008
6,mixed-effects model,68,1,2008
7,reliability,68,1,2008
7,reliability generalization,68,1,2008
7,Fail-Safe N,68,1,2008
7,meta-analysis,68,1,2008
8,GMAT,68,1,2008
8,predictive validity,68,1,2008
8,graduate admissions,68,1,2008
8,MBA,68,1,2008
9,short forms,68,1,2008
9,WAIS-III,68,1,2008
9,Canadian norms,68,1,2008
9,intellectual functioning,68,1,2008
9,IQ,68,1,2008
10,self enhancement,68,1,2008
10,ego enhancement,68,1,2008
10,social desirability,68,1,2008
10,motivational orientation,68,1,2008
10,goal orientation,68,1,2008
1,multidimensional item response theory,68,2,2008
1,MIRT,68,2,2008
1,model data fit,68,2,2008
1,item fit,68,2,2008
1,Type I error,68,2,2008
1,power,68,2,2008
2,minimum competency,68,2,2008
2,standard setting,68,2,2008
2,cut score,68,2,2008
2,Angoff method,68,2,2008
2,bookmarking,68,2,2008
2,score reliability,68,2,2008
2,true score,68,2,2008
3,item response theory,68,2,2008
3,computerized adaptive testing,68,2,2008
3,discrimination parameter,68,2,2008
3,D-optimality,68,2,2008
3,maximum likelihood estimate,68,2,2008
3,test security,68,2,2008
4,squared multiple correlation,68,2,2008
4,cross-validation,68,2,2008
4,mean squared error of prediction,68,2,2008
4,confidence interval,68,2,2008
4,sample size,68,2,2008
5,activity theory,68,2,2008
5,expansive learning,68,2,2008
5,general attitude,68,2,2008
5,specific attitude,68,2,2008
5,measurement validity,68,2,2008
5,facet analysis,68,2,2008
5,multilevel structural equation modeling,68,2,2008
6,Ways of Coping Scale,68,2,2008
6,reliability generalization,68,2,2008
6,reliability,68,2,2008
6,reliability coefficients,68,2,2008
6,coping measures,68,2,2008
7,measurement bias,68,2,2008
7,sex differences,68,2,2008
7,depression,68,2,2008
7,factor analysis,68,2,2008
8,homework management,68,2,2008
8,self-regulation,68,2,2008
8,scale development,68,2,2008
8,factor analysis,68,2,2008
8,high school students,68,2,2008
9,computer anxiety,68,2,2008
9,computer technology,68,2,2008
9,confirmatory factor analysis,68,2,2008
9,cross-cultural comparison,68,2,2008
9,e-learning,68,2,2008
10,PPVT,68,2,2008
10,EVT,68,2,2008
10,latent class analysis,68,2,2008
10,differential item functioning,68,2,2008
10,test bias,68,2,2008
1,multilevel models,68,3,2008
1,mixture modeling,68,3,2008
1,structural equation modeling,68,3,2008
1,latent means,68,3,2008
2,polytomous item response theory,68,3,2008
2,DIF,68,3,2008
2,graded response model,68,3,2008
2,generalized partial credit model,68,3,2008
3,validity theory,68,3,2008
3,unitary perspective,68,3,2008
3,consequential validity,68,3,2008
3,validity evidence,68,3,2008
4,item response theory,68,3,2008
4,hierarchical MIRT model,68,3,2008
4,general and specific abilities,68,3,2008
4,unidimensional model,68,3,2008
4,multiunidimensional model,68,3,2008
4,MCMC,68,3,2008
4,Gibbs sampling,68,3,2008
4,Bayesian model choice,68,3,2008
5,subject predictor ratio,68,3,2008
5,Monte Carlo,68,3,2008
5,simulation,68,3,2008
5,sample size,68,3,2008
5,squared multiple correlation coefficient,68,3,2008
5,multiple linear regression,68,3,2008
6,self-efficacy,68,3,2008
6,self-regulation,68,3,2008
6,self-regulated learning,68,3,2008
6,social cognitive theory,68,3,2008
6,academic motivation,68,3,2008
7,Rasch,68,3,2008
7,goal theory,68,3,2008
7,performance orientation,68,3,2008
7,mastery orientation,68,3,2008
8,sleep quality,68,3,2008
8,sleeplessness,68,3,2008
8,sleep measurement,68,3,2008
8,sleep behavior,68,3,2008
8,psychometrics,68,3,2008
8,questionnaires,68,3,2008
9,work—family conflict,68,3,2008
9,work—nonwork conflict,68,3,2008
9,job satisfaction,68,3,2008
9,turnover intentions,68,3,2008
1,differential item functioning,68,4,2008
1,standardized test,68,4,2008
1,item difficulty,68,4,2008
1,racial groups,68,4,2008
2,computer-based testing,68,4,2008
2,construct stability,68,4,2008
2,testing mode,68,4,2008
2,literacy assessment,68,4,2008
3,differential item functioning,68,4,2008
3,item bias,68,4,2008
3,empirical histogram,68,4,2008
3,measurement invariance,68,4,2008
4,effect size,68,4,2008
4,item response theory,68,4,2008
4,structural equation modeling,68,4,2008
5,bookmark procedure,68,4,2008
5,standard setting,68,4,2008
5,generalizability theory,68,4,2008
5,standard error,68,4,2008
5,cut score,68,4,2008
6,learning difficulties,68,4,2008
6,attention deficit hyperactivity disorder,68,4,2008
6,measurement invariance,68,4,2008
6,Wechsler Adult Intelligence Scale–Third Edition,68,4,2008
6,Wechsler Memory Scale–Third Edition,68,4,2008
7,achievement goals,68,4,2008
7,confirmatory factor analysis,68,4,2008
7,exploratory factor analysis,68,4,2008
7,performance goals,68,4,2008
7,learning goals,68,4,2008
8,Chinese parent ratings,68,4,2008
8,Gifted Rating Scales,68,4,2008
8,reliability,68,4,2008
8,validity,68,4,2008
9,behavior problems,68,4,2008
9,internalizing,68,4,2008
9,externalizing,68,4,2008
9,measurement invariance,68,4,2008
9,ethnicity,68,4,2008
9,longitudinal,68,4,2008
10,full-information item bifactor analysis,68,4,2008
10,item response theory,68,4,2008
10,graded response data,68,4,2008
10,dimensionality assessment,68,4,2008
10,test score validity,68,4,2008
1,invariance,68,5,2008
1,differential item functioning,68,5,2008
1,differential step functioning,68,5,2008
1,partial credit model,68,5,2008
2,squared semipartial correlation,68,5,2008
2,confidence interval,68,5,2008
2,percentile bootstrap,68,5,2008
3,differential item functioning,68,5,2008
3,Type I error rate,68,5,2008
3,SIBTEST,68,5,2008
3,IRT likelihood ratio,68,5,2008
4,meta-analysis,68,5,2008
4,dependent effect size,68,5,2008
5,standard setting,68,5,2008
5,minimum passing score,68,5,2008
5,Angoff method,68,5,2008
5,IRT-based approach,68,5,2008
6,burnout,68,5,2008
6,factor structure,68,5,2008
6,dimensionality,68,5,2008
6,meta-analysis,68,5,2008
6,construct validity,68,5,2008
7,Revised Experiences in Close Relationships,68,5,2008
7,ECRR,68,5,2008
7,anxiety,68,5,2008
7,avoidance,68,5,2008
7,Rasch rating scale analysis,68,5,2008
8,teacher content knowledge,68,5,2008
8,mathematics,68,5,2008
8,assess,68,5,2008
8,video clips,68,5,2008
8,validity,68,5,2008
9,school amotivation,68,5,2008
9,factorial invariance,68,5,2008
9,grade,68,5,2008
9,gender,68,5,2008
9,high school,68,5,2008
10,factorial validity,68,5,2008
10,gender roles,68,5,2008
10,BSRI,68,5,2008
10,femininity,68,5,2008
10,masculinity,68,5,2008
2,ignorability,68,6,2008
2,item response theory,68,6,2008
2,maximum marginal likelihood,68,6,2008
2,missing data,68,6,2008
2,nonignorable missing data,68,6,2008
2,sequential model,68,6,2008
2,steps model,68,6,2008
3,confirmatory factor analysis,68,6,2008
3,confirmatory common factor method,68,6,2008
3,oblique multiple group method,68,6,2008
3,comparative study,68,6,2008
4,Cochran-Mantel-Haenszel methods,68,6,2008
4,generalized Mantel-Haenszel statistics,68,6,2008
4,differential item functioning,68,6,2008
4,polytomous items,68,6,2008
5,approximate test,68,6,2008
5,Behrens-Fisher problem,68,6,2008
5,Monte Carlo simulation,68,6,2008
5,statistical power,68,6,2008
5,Welch's F test,68,6,2008
6,cognitive modeling,68,6,2008
6,Bayesian inference,68,6,2008
6,intelligent tutoring systems,68,6,2008
6,item response theory,68,6,2008
6,reliability,68,6,2008
7,measurement invariance,68,6,2008
7,achievement goal orientation,68,6,2008
7,construct validity,68,6,2008
7,CFA,68,6,2008
7,ethnic differences,68,6,2008
8,conflict measure,68,6,2008
8,adolescence,68,6,2008
8,development,68,6,2008
8,factor structure,68,6,2008
9,intelligence,68,6,2008
9,measurement invariance,68,6,2008
9,Wechsler Adult Intelligence Scale—Third Edition,68,6,2008
9,cross-cultural study,68,6,2008
10,CRIS,68,6,2008
10,expanded nigrescence model,68,6,2008
10,racial identity,68,6,2008
10,validity,68,6,2008
11,coaching efficacy,68,6,2008
11,self-efficacy,68,6,2008
11,exploratory factor analysis,68,6,2008
11,confirmatory factor analysis,68,6,2008
11,structural equation modeling,68,6,2008
1,classification accuracy,69,1,2009
1,interrater reliability,69,1,2009
1,large-scale assessment,69,1,2009
1,score resolution,69,1,2009
2,differential item functioning,69,1,2009
2,logistic regression analysis,69,1,2009
2,Mantel-Haenszel statistic,69,1,2009
2,missing data,69,1,2009
3,CAT,69,1,2009
3,constraint-weighted a-stratification,69,1,2009
3,efficiency,69,1,2009
3,exposure control,69,1,2009
4,factor analysis,69,1,2009
4,binary variables,69,1,2009
4,parallel analysis,69,1,2009
4,unidimensionality,69,1,2009
4,normal ogive model,69,1,2009
5,effect sizes,69,1,2009
5,meta-analysis,69,1,2009
5,effect size comparability,69,1,2009
5,effect size invariance,69,1,2009
5,construct validity and meta-analysis,69,1,2009
5,construct validity and effect sizes,69,1,2009
6,item response theory,69,1,2009
6,simulation,69,1,2009
7,cultural intelligence,69,1,2009
7,emotional intelligence,69,1,2009
7,Multicultural Personality Questionnaire,69,1,2009
7,adaptation,69,1,2009
7,acculturation,69,1,2009
8,measurement skills,69,1,2009
8,elementary school students,69,1,2009
8,test construction,69,1,2009
8,principal components analysis,69,1,2009
8,Rasch analysis,69,1,2009
9,stress-related growth,69,1,2009
9,positive psychology,69,1,2009
9,adolescents,69,1,2009
9,racial/ethnic minority,69,1,2009
10,factor structure,69,1,2009
10,Four Dimension Mood Scale,69,1,2009
10,confirmatory factor analysis,69,1,2009
11,Direct Behavior Rating,69,1,2009
11,generalizability,69,1,2009
11,dependability,69,1,2009
11,scale gradients,69,1,2009
11,rating scale,69,1,2009
1,nonparametric item response theory,69,2,2009
1,model fit,69,2,2009
1,kernel smoothing,69,2,2009
1,isotonic regression,69,2,2009
1,item characteristic curve estimation,69,2,2009
2,multivariate,69,2,2009
2,positive orthant hypothesis,69,2,2009
2,variance heterogeneity,69,2,2009
2,nonnormality,69,2,2009
2,t test,69,2,2009
2,likelihood ratio test,69,2,2009
3,Rasch model,69,2,2009
3,single-parameter logistic model,69,2,2009
3,item discrimination,69,2,2009
3,classical test theory,69,2,2009
3,modern test theory,69,2,2009
4,Rasch model,69,2,2009
4,LLTM,69,2,2009
4,test administration,69,2,2009
4,learning effect,69,2,2009
4,multiple choice response format,69,2,2009
5,effect size,69,2,2009
5,statistical significance,69,2,2009
5,practical significance,69,2,2009
6,achievement goals,69,2,2009
6,validity,69,2,2009
6,multigroup confirmatory factor analysis,69,2,2009
7,epistemological beliefs,69,2,2009
7,graded response model,69,2,2009
7,monotone homogeneity model,69,2,2009
7,confirmatory factor analysis,69,2,2009
8,worry,69,2,2009
8,emotionality,69,2,2009
8,anxiety,69,2,2009
8,psychometric evaluation,69,2,2009
8,test anxiety,69,2,2009
8,college students,69,2,2009
8,measurement of anxiety,69,2,2009
8,study worry,69,2,2009
8,study habits,69,2,2009
9,mathematical ability tests,69,2,2009
9,calculators,69,2,2009
9,reliability,69,2,2009
9,validity,69,2,2009
9,personnel selection,69,2,2009
1,equating,69,3,2009
1,item response theory,69,3,2009
1,common-item nonequivalent groups design,69,3,2009
1,item parameter drift,69,3,2009
2,bandwidth—fidelity dilemma,69,3,2009
2,Rasch measurement,69,3,2009
2,item response theory,69,3,2009
2,multidimensional item response model,69,3,2009
2,thinking style,69,3,2009
3,counseling psychology,69,3,2009
3,survey research,69,3,2009
3,response rates,69,3,2009
3,meta-analysis,69,3,2009
4,reliability generalization,69,3,2009
4,research design assumptions,69,3,2009
4,meta-analysis,69,3,2009
4,simulation studies,69,3,2009
4,intraclass correlation,69,3,2009
5,tetrachoric correlation coefficient,69,3,2009
5,dichotomous variables,69,3,2009
5,small sample,69,3,2009
5,permutation,69,3,2009
6,Balanced Inventory of Desirable Responding (BIDR),69,3,2009
6,self-deception,69,3,2009
6,enhancement,69,3,2009
6,Rasch analysis,69,3,2009
6,item response theory,69,3,2009
7,Chinese Intelligence Scale for Young Children,69,3,2009
7,rural and urban,69,3,2009
7,factor structure,69,3,2009
7,confirmatory factor analysis,69,3,2009
7,measurement invariance,69,3,2009
8,academic selection,69,3,2009
8,cognitive and noncognitive factors,69,3,2009
8,multidimensional Rasch model,69,3,2009
8,standardized letters of recommendation,69,3,2009
9,academic engagement,69,3,2009
9,disaffection,69,3,2009
9,achievement motivation,69,3,2009
9,classroom participation,69,3,2009
9,emotional engagement,69,3,2009
9,on-task behavior,69,3,2009
1,computerized adaptive testing,69,4,2009
1,item pool design,69,4,2009
1,automated test assembly,69,4,2009
1,item response theory,69,4,2009
1,Monte Carlo methods,69,4,2009
1,combinatorial optimization,69,4,2009
2,social desirability,69,4,2009
2,faking,69,4,2009
2,validity,69,4,2009
2,spurious measurement error,69,4,2009
2,structural equation modeling,69,4,2009
2,common method variance,69,4,2009
3,bootstrap standard error,69,4,2009
3,confidence interval,69,4,2009
3,squared multiple correlation,69,4,2009
4,differential item functioning,69,4,2009
4,differential person functioning,69,4,2009
4,invariant measurement,69,4,2009
4,Rasch measurement theory,69,4,2009
5,invariance testing,69,4,2009
5,multisample,69,4,2009
5,path analysis,69,4,2009
6,Abridged Big Five Circumplex,69,4,2009
6,personality traits,69,4,2009
6,differential item functioning,69,4,2009
6,gender and ethnicity DIF,69,4,2009
7,behavioral inhibition,69,4,2009
7,behavioral approach,69,4,2009
7,factor analysis,69,4,2009
7,reinforcement sensitivity theory,69,4,2009
7,psychometric properties,69,4,2009
7,BIS—BAS scales,69,4,2009
8,educational research,69,4,2009
8,ADHD,69,4,2009
8,measurement,69,4,2009
8,teacher ratings,69,4,2009
8,inhibition,69,4,2009
9,coping,69,4,2009
9,Coping Inventory for Stressful Situations,69,4,2009
9,confirmatory factor analysis,69,4,2009
9,self-observer agreement,69,4,2009
9,measurement equivalence,69,4,2009
